season,season_start,season_end,num_games,playoffs_start,playoffs_end,notes
2010-11,2010-10-26,2011-04-13,82,2011-04-16,2011-06-12,
2011-12,2011-12-25,2012-04-26,66,2012-04-28,2012-06-21,Shortened — NBA lockout
2012-13,2012-10-30,2013-04-17,82,2013-04-20,2013-06-20,
2013-14,2013-10-29,2014-04-16,82,2014-04-19,2014-06-15,
2014-15,2014-10-28,2015-04-15,82,2015-04-18,2015-06-16,
2015-16,2015-10-27,2016-04-13,82,2016-04-16,2016-06-19,
2016-17,2016-10-25,2017-04-12,82,2017-04-15,2017-06-12,
2017-18,2017-10-17,2018-04-11,82,2018-04-14,2018-06-08,
2018-19,2018-10-16,2019-04-10,82,2019-04-13,2019-06-13,
2019-20,2019-10-22,2020-08-14,71-75,2020-08-17,2020-10-11,COVID — suspended Mar 11; seeding games Jul 30–Aug 14 in Bubble; playoffs in Bubble
2020-21,2020-12-22,2021-05-16,72,2021-05-22,2021-07-20,COVID — delayed start; shortened to 72 games
2021-22,2021-10-19,2022-04-10,82,2022-04-16,2022-06-16,
2022-23,2022-10-18,2023-04-09,82,2023-04-15,2023-06-12,
2023-24,2023-10-24,2024-04-14,82,2024-04-20,2024-06-17,
2024-25,2024-10-22,2025-04-13,82,2025-04-19,2025-06-22,
2025-26,2025-10-21,2026-04-12,82,2026-04-18,2026-06-19,
